id,pmt_id,board_id,channel_id,measurement_time,run_id,run_type,run_tag,hv,temperature,spe_gain,dark_count_rate,after_pulse_probability,notes,energy_resolution
70,LV2229,0,6,"2026-07-17 12:14:16",00292,,,,,,59.3811616395542,,,
74,LV2426,0,3,"2026-07-17 12:16:46",00293,,,,,,110.071786451885,,,
81,LV2426,0,3,"2026-07-17 14:13:16",00294,,,,,,111.856813964801,,,
427,LV2353,5,1,"2026-07-24 00:00:00",xr095,relics_test,,800.0,,1.4360625,115.0,,,1.43883013448231
148,LV2419,0,0,"2026-07-22 20:13:42",00315,,,800.0,,,127.750443124236,,,
268,LV2204,0,2,"2026-07-24 10:21:02",00329,,,,,,127.932135548964,,,
394,LV2296,13,3,"2026-07-24 00:00:00",xr062,relics_test,,800.0,,1.1158125,130.0,,,0.977482776004033
263,LV2204,0,2,"2026-07-24 00:13:50",00328,,,,,,136.860834361067,,,
67,LV2426,0,3,"2026-07-17 12:14:16",00292,,,,,,150.190959386352,,,
380,LV2258,10,4,"2026-07-24 00:00:00",xr048,relics_test,,800.0,,4.7325,152.0,,,0.426703645007924
373,LV2242,9,2,"2026-07-24 00:00:00",xr041,relics_test,,800.0,,6.631875,156.0,,,0.322872490811422
245,LV2415,0,6,"2026-07-23 18:24:19",00325,,,800.0,,,156.147469814719,,,
149,LV2417,0,1,"2026-07-22 20:13:42",00315,,,800.0,,,165.507733350286,,,
407,LV2376,1,1,"2026-07-24 00:00:00",xr075,relics_test,,800.0,,1.6486875,169.0,,,0.774707153417491
240,LV2205,0,1,"2026-07-23 18:24:19",00325,,,800.0,,,170.946037219854,,,
269,LV2437,0,3,"2026-07-24 10:21:02",00329,,,,,,172.506212949645,,,
270,LV2431,0,4,"2026-07-24 10:21:02",00329,,,,,,175.732933479398,,,
390,LV2288,12,4,"2026-07-24 00:00:00",xr058,relics_test,,800.0,,1.7229375,182.0,,,0.613559690934813
150,LV2433,0,2,"2026-07-22 20:13:42",00315,,,800.0,,,186.09307331594,,,
264,LV2437,0,3,"2026-07-24 00:13:50",00328,,,,,,187.275088976589,,,
151,LV2424,0,3,"2026-07-22 20:13:42",00315,,,800.0,,,187.679766186744,,,
265,LV2431,0,4,"2026-07-24 00:13:50",00328,,,,,,190.916822193162,,,
241,LV2202,0,2,"2026-07-23 18:24:19",00325,,,800.0,,,208.33162855498,,,
343,LV2345,3,1,"2026-07-24 00:00:00",xr011,relics_test,,800.0,,4.51875,209.0,,,0.387095435684647
239,LV2433,0,0,"2026-07-23 18:24:19",00325,,,800.0,,,210.186657896337,,,
266,LV2206,0,0,"2026-07-24 10:21:02",00329,,,,,,230.015506275644,,,
372,LV2245,9,1,"2026-07-24 00:00:00",xr040,relics_test,,800.0,,6.316875,233.0,,,0.354704660136539
69,LV2390,0,5,"2026-07-17 12:14:16",00292,,,,,,237.030521749218,,,
382,LV2260,11,1,"2026-07-24 00:00:00",xr050,relics_test,,800.0,,3.924375,241.0,,,0.54180602006689
261,LV2206,0,0,"2026-07-24 00:13:50",00328,,,,,,249.936234061393,,,
428,LV2354,5,2,"2026-07-24 00:00:00",xr096,relics_test,,800.0,,4.190625,255.0,,,0.423668903803132
381,LV2259,11,0,"2026-07-24 00:00:00",xr049,relics_test,,800.0,,5.19,258.0,,,0.344761560693642
123,LV2418,0,3,"2026-07-22 11:54:26",00311,,,800.0,,,262.002665348283,,,
392,LV2294,13,1,"2026-07-24 00:00:00",xr060,relics_test,,800.0,,4.726875,283.0,,,0.373462911543039
388,LV2275,12,2,"2026-07-24 00:00:00",xr056,relics_test,,800.0,,6.478125,288.0,,,0.345296671490593
379,LV2255,10,3,"2026-07-24 00:00:00",xr047,relics_test,,800.0,,4.779375,289.0,,,0.340643389564535
377,LV2252,10,1,"2026-07-24 00:00:00",xr045,relics_test,,800.0,,4.805625,296.0,,,0.352711666016387
383,LV2261,11,2,"2026-07-24 00:00:00",xr051,relics_test,,800.0,,5.68875,306.0,,,0.32462096242584
77,LV2229,0,6,"2026-07-17 12:16:46",00293,,,,,,306.846646750922,,,
177,LV2255,0,1,"2026-07-23 10:53:52",00319,,,800.0,,,308.433802374593,,,
84,LV2229,0,6,"2026-07-17 14:13:16",00294,,,,,,312.246730324014,,,
426,LV2352,5,0,"2026-07-24 00:00:00",xr094,relics_test,,800.0,,2.69625,331.0,,,0.826147426981919
450,LV2401,10,4,"2026-07-24 00:00:00",xr118,relics_test,,800.0,,4.14375,334.0,,,0.446696832579186
371,LV2246,9,0,"2026-07-24 00:00:00",xr039,relics_test,,800.0,,5.07,338.0,,,0.328994082840237
338,LV2266,2,1,"2026-07-24 00:00:00",xr006,relics_test,,800.0,,4.935,345.0,,,0.369908814589666
398,LV2302,14,2,"2026-07-24 00:00:00",xr066,relics_test,,800.0,,2.21625,347.0,,,0.861252115059222
376,LV2250,10,0,"2026-07-24 00:00:00",xr044,relics_test,,800.0,,5.008125,357.0,,,0.379633096218645
176,LV2360,0,0,"2026-07-23 10:53:52",00319,,,800.0,,,357.649675053386,,,
361,LV2337,6,4,"2026-07-24 00:00:00",xr029,relics_test,,800.0,,4.089375,360.0,,,0.436497019715727
393,LV2295,13,2,"2026-07-24 00:00:00",xr061,relics_test,,800.0,,3.87,362.0,,,0.346463178294574
413,LV2382,2,2,"2026-07-24 00:00:00",xr081,relics_test,,800.0,,4.685625,373.0,,,0.335334133653461
78,LV2234,0,0,"2026-07-17 14:13:16",00294,,,,,,378.857810545689,,,
71,LV2234,0,0,"2026-07-17 12:16:46",00293,,,,,,379.561160232083,,,
368,LV2238,8,2,"2026-07-24 00:00:00",xr036,relics_test,,800.0,,6.2775,382.0,,,0.317502986857826
76,LV2390,0,5,"2026-07-17 12:16:46",00293,,,,,,395.01641106895,,,
83,LV2390,0,5,"2026-07-17 14:13:16",00294,,,,,,401.1698390431,,,
410,LV2379,1,4,"2026-07-24 00:00:00",xr078,relics_test,,800.0,,1.993125,402.0,,,0.756820319849483
386,LV2270,12,0,"2026-07-24 00:00:00",xr054,relics_test,,800.0,,5.25375,408.0,,,0.337615988579586
433,LV2359,6,3,"2026-07-24 00:00:00",xr101,relics_test,,800.0,,3.088125,409.0,,,0.374802671523983
408,LV2377,1,2,"2026-07-24 00:00:00",xr076,relics_test,,800.0,,5.27625,411.0,,,0.422885572139304
399,LV2305,14,3,"2026-07-24 00:00:00",xr067,relics_test,,800.0,,5.2425,423.0,,,0.355078683834049
127,LV2419,0,0,"2026-07-22 17:39:40",00312,,,800.0,,,429.306973424926,,,
152,LV2336,0,4,"2026-07-22 20:13:42",00315,,,800.0,,,431.287122680954,,,
224,LV2410,0,6,"2026-07-23 16:21:35",00322,,,800.0,,,434.36346223091,,,
341,LV2269,2,4,"2026-07-24 00:00:00",xr009,relics_test,,800.0,,4.423125,439.0,,,0.408478168715557
395,LV2297,13,4,"2026-07-24 00:00:00",xr063,relics_test,,800.0,,4.18875,452.0,,,0.441316025067144
178,LV2338,0,2,"2026-07-23 10:53:52",00319,,,800.0,,,452.388021587571,,,
349,LV2325,4,2,"2026-07-24 00:00:00",xr017,relics_test,,800.0,,2.57625,460.0,,,0.902474526928675
64,LV2234,0,0,"2026-07-17 12:14:16",00292,,,,,,464.207275505032,,,
444,LV2371,9,2,"2026-07-24 00:00:00",xr112,relics_test,,800.0,,4.44375,474.0,,,0.429113924050633
387,LV2274,12,1,"2026-07-24 00:00:00",xr055,relics_test,,800.0,,5.210625,478.0,,,0.35286074127384
156,LV2255,0,1,"2026-07-22 22:39:15",00316,,,800.0,,,483.348991678853,,,
384,LV2263,11,3,"2026-07-24 00:00:00",xr052,relics_test,,800.0,,4.483125,491.0,,,0.405269761606023
223,LV2409,0,5,"2026-07-23 16:21:35",00322,,,800.0,,,495.76442284157,,,
414,LV2383,2,3,"2026-07-24 00:00:00",xr082,relics_test,,800.0,,3.913125,499.0,,,0.36420699568759
267,LV2430,0,1,"2026-07-24 10:21:02",00329,,,,,,502.58005614843,,,
242,LV2414,0,3,"2026-07-23 18:24:19",00325,,,800.0,,,506.409676646428,,,
441,LV2368,8,3,"2026-07-24 00:00:00",xr109,relics_test,,800.0,,3.255,517.0,,,0.404377880184332
262,LV2430,0,1,"2026-07-24 00:13:50",00328,,,,,,520.279507712591,,,
397,LV2300,14,1,"2026-07-24 00:00:00",xr065,relics_test,,800.0,,2.518125,524.0,,,0.385554728220402
130,LV2424,0,3,"2026-07-22 17:39:40",00312,,,800.0,,,531.398631745333,,,
128,LV2417,0,1,"2026-07-22 17:39:40",00312,,,800.0,,,532.155310703074,,,
155,LV2360,0,0,"2026-07-22 22:39:15",00316,,,800.0,,,540.519858086563,,,
367,LV2237,8,1,"2026-07-24 00:00:00",xr035,relics_test,,800.0,,4.995,546.0,,,0.340990990990991
442,LV2369,8,4,"2026-07-24 00:00:00",xr110,relics_test,,800.0,,2.9625,546.0,,,0.444177215189873
359,LV2335,6,2,"2026-07-24 00:00:00",xr027,relics_test,,800.0,,5.068125,554.0,,,0.348575656677765
403,LV2311,15,2,"2026-07-24 00:00:00",xr071,relics_test,,800.0,,1.6355625,570.0,,,0.830104321907601
405,LV2315,15,4,"2026-07-24 00:00:00",xr073,relics_test,,800.0,,1.53,570.0,,,0.845220588235294
447,LV2397,10,0,"2026-07-24 00:00:00",xr115,relics_test,,800.0,,4.50375,588.0,,,0.44421315570358
430,LV2356,5,4,"2026-07-24 00:00:00",xr098,relics_test,,800.0,,3.4275,591.0,,,0.422866520787746
363,LV2339,7,1,"2026-07-24 00:00:00",xr031,relics_test,,800.0,,4.56,607.0,,,0.340912828947368
429,LV2355,5,3,"2026-07-24 00:00:00",xr097,relics_test,,800.0,,4.171875,612.0,,,0.339910112359551
332,LV2317,1,0,"2026-07-24 00:00:00",xr000,relics_test,,800.0,,5.25,618.0,,,0.347392857142857
404,LV2312,15,3,"2026-07-24 00:00:00",xr072,relics_test,,800.0,,2.72625,619.0,,,0.479848693259972
125,LV2231,0,5,"2026-07-22 11:54:26",00311,,,800.0,,,624.20032067791,,,
400,LV2307,14,4,"2026-07-24 00:00:00",xr068,relics_test,,800.0,,2.668125,630.0,,,0.689950808151792
448,LV2398,10,2,"2026-07-24 00:00:00",xr116,relics_test,,800.0,,4.198125,648.0,,,0.521214828048236
409,LV2378,1,3,"2026-07-24 00:00:00",xr077,relics_test,,800.0,,4.1475,651.0,,,0.348688969258589
366,LV2343,7,4,"2026-07-24 00:00:00",xr034,relics_test,,800.0,,4.2225,661.0,,,0.39360568383659
124,LV2407,0,4,"2026-07-22 11:54:26",00311,,,800.0,,,664.854326194328,,,
333,LV2318,1,1,"2026-07-24 00:00:00",xr001,relics_test,,800.0,,2.68125,668.0,,,0.715384615384615
353,LV2329,5,1,"2026-07-24 00:00:00",xr021,relics_test,,800.0,,3.435,679.0,,,0.552947598253275
370,LV2236,8,4,"2026-07-24 00:00:00",xr038,relics_test,,800.0,,5.4225,724.0,,,0.385892116182573
68,LV2268,0,4,"2026-07-17 12:14:16",00292,,,,,,727.667728898367,,,
437,LV2364,7,3,"2026-07-24 00:00:00",xr105,relics_test,,800.0,,3.729375,734.0,,,0.51131221719457
425,LV2394,4,4,"2026-07-24 00:00:00",xr093,relics_test,,800.0,,4.670625,744.0,,,0.405459654757126
439,LV2366,8,0,"2026-07-24 00:00:00",xr107,relics_test,,800.0,,3.31125,746.0,,,0.345922989807475
244,LV2411,0,5,"2026-07-23 18:24:19",00325,,,800.0,,,772.755556157364,,,
402,LV2309,15,1,"2026-07-24 00:00:00",xr070,relics_test,,800.0,,3.39,777.0,,,0.407798672566372
369,LV2239,8,3,"2026-07-24 00:00:00",xr037,relics_test,,800.0,,6.12375,780.0,,,0.369565217391304
385,LV2264,11,4,"2026-07-24 00:00:00",xr053,relics_test,,800.0,,5.285625,792.0,,,0.397658744235545
122,LV2235,0,2,"2026-07-22 11:54:26",00311,,,800.0,,,798.471535453334,,,
73,LV2425,0,2,"2026-07-17 12:16:46",00293,,,,,,802.933031506749,,,
434,LV2360,6,4,"2026-07-24 00:00:00",xr102,relics_test,,800.0,,3.68625,803.0,,,0.423753814852492
80,LV2425,0,2,"2026-07-17 14:13:16",00294,,,,,,807.763099370325,,,
443,LV2370,9,0,"2026-07-24 00:00:00",xr111,relics_test,,800.0,,3.230625,809.0,,,0.452524666279745
179,LV2247,0,3,"2026-07-23 10:53:52",00319,,,800.0,,,824.83295898542,,,
153,LV2365,0,5,"2026-07-22 20:13:42",00315,,,800.0,,,834.432113929629,,,
423,LV2392,4,2,"2026-07-24 00:00:00",xr091,relics_test,,800.0,,4.246875,875.0,,,0.445033112582781
346,LV2349,3,4,"2026-07-24 00:00:00",xr014,relics_test,,800.0,,4.4175,891.0,,,0.399363327674024
435,LV2361,7,0,"2026-07-24 00:00:00",xr103,relics_test,,800.0,,3.530625,909.0,,,0.451141795007966
102,LV2418,0,3,"2026-07-22 11:03:27",00308,,,800.0,,,921.960592567951,,,
401,LV2308,15,0,"2026-07-24 00:00:00",xr069,relics_test,,800.0,,3.879375,924.0,,,0.386515224746254
157,LV2338,0,2,"2026-07-22 22:39:15",00316,,,800.0,,,928.149065826835,,,
449,LV2400,10,3,"2026-07-24 00:00:00",xr117,relics_test,,800.0,,3.643125,946.0,,,0.56201749871333
344,LV2347,3,2,"2026-07-24 00:00:00",xr012,relics_test,,800.0,,4.5225,973.0,,,0.354353233830846
438,LV2365,7,4,"2026-07-24 00:00:00",xr106,relics_test,,800.0,,3.856875,977.0,,,0.418424890617404
